,window_id,dur_mean,dur_std,sbytes_mean,sbytes_std,dbytes_mean,dbytes_std,rate_mean,rate_std,sttl_mean,sttl_std,dttl_mean,dttl_std,sinpkt_mean,sinpkt_std,dinpkt_mean,dinpkt_std,smean_mean,smean_std,dmean_mean,dmean_std,service_-_mean,service_dhcp_mean,service_dns_mean,service_ftp_mean,service_ftp-data_mean,service_http_mean,service_irc_mean,service_pop3_mean,service_radius_mean,service_smtp_mean,service_snmp_mean,service_ssh_mean,service_ssl_mean,state_CON_mean,state_ECO_mean,state_FIN_mean,state_INT_mean,state_REQ_mean,state_RST_mean,proto_nunique,window_attack,anomaly_score,predicted,predicted_label,tuned_pred
0,0,0.3178438174926543,0.38346798056676,6.57168071253292,1.1388468997147558,4.251369018869703,3.4099738734304528,5.920870436503229,4.0080422309938175,189.21,98.1731407033286,147.05,124.08846428938097,2.894243282809059,2.538445661961594,2.78646697645006,2.4574460784189904,1.7435326838282654,0.1550760378648899,2.857311712242818,2.291274474047946,0.75,0.0,0.0,0.02,0.0,0.19,0.0,0.0,0.0,0.03,0.01,0.0,0.0,0.04,0.0,0.6,0.36,0.0,0.0,4,0,-0.019631403976484774,-1,1,1
1,1,0.2723404993372314,0.5361341405592671,7.0099899389755125,0.9164838081220892,3.4283527191774748,4.077961695892318,8.423115274725593,3.942507804995399,162.58,110.31023103369456,21.39,49.345390623214,1.5568401207882772,2.7342913731232734,1.4496347329558252,2.621552275328612,1.8542539147516368,0.1643666365479415,2.2618423554668365,2.649988243358671,0.8,0.0,0.05,0.01,0.03,0.1,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.08,0.01,0.36,0.55,0.0,0.0,4,0,-0.05636281147186417,-1,1,1
4,4,0.6640229400611993,0.6258246807554056,7.218753546523685,0.7618261439734756,7.610471658391897,1.4543994884977216,4.008287030146534,2.882683570478867,31.0,0.0,29.0,0.0,4.08869967126202,3.0387934415177917,3.959000214266045,2.9707060708978204,1.7274748125689263,0.056941286869611,4.88544374983809,0.8207639380468018,0.56,0.0,0.06,0.0,0.02,0.35,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.07,0.0,0.93,0.0,0.0,0.0,2,0,0.0006679076329169087,1,0,1
5,5,0.6740334817550666,0.5210876816602029,7.185943273792951,0.8357853547790693,7.616637948956098,1.3634035204800006,3.7213854225026073,2.5176732167325686,30.69,3.1,28.71,2.9,4.354203860641992,2.5843467031991345,4.196939005174504,2.531195301764879,1.7230443217876132,0.0683885118582713,4.893924033616647,0.8317244050849066,0.52,0.0,0.05,0.02,0.06,0.33,0.0,0.0,0.0,0.01,0.0,0.01,0.0,0.06,0.0,0.94,0.0,0.0,0.0,3,0,0.00018553069986537718,1,0,1
8,8,0.7173253043600454,0.2992195987610871,7.470813009326974,0.5277023717045137,8.101861268444942,1.4103106298287131,3.265193569303272,1.1899910483081404,31.0,0.0,29.0,0.0,4.520198310211566,1.192290673582186,4.405711489855397,1.2023704337762944,1.7067820001681877,0.047082847202583,5.026291093111003,0.8966065008641606,0.92,0.0,0.01,0.01,0.02,0.02,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.03,0.0,0.97,0.0,0.0,0.0,2,0,0.017564291468775806,1,0,1
417,417,0.4830187941762972,0.3315827126268555,6.406498092327342,0.6005761599118831,5.692117121682943,0.8714388788648767,3.0313358746222154,0.9137380188579408,248.92,35.73914471061757,246.96,35.457734122344995,4.588696477697154,1.3880949549794426,4.7106481139150524,1.2563667654671258,1.622090079631451,0.0602388602052003,3.765024798194996,0.5446990708705586,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.98,0.02,0.0,0.0,2,0,0.018019986824437284,1,0,1
421,421,0.0650250170937829,0.2749419835421046,7.022983082090758,0.2260099719484193,0.1304124225511739,0.9174859137044512,11.315497245289675,2.646305639187589,254.0,0.0,5.04,35.457734122345,0.4373693163983697,1.783226789022416,0.0903798726338132,0.6358771613891073,1.9824201277458888,0.0206214505919754,0.0812088602109283,0.5713258281225754,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.98,0.0,0.0,2,0,-0.07530384743321439,-1,1,1
422,422,0.0228262216297688,0.1454535373027949,7.0121155346420405,0.2511696052939675,0.1304124225511739,0.9174859137044512,11.620628736168031,1.7251836161248977,254.0,0.0,5.04,35.45773412234501,0.1730215019004968,1.008037508640942,0.0866864837501199,0.6101011146119856,1.983929797298988,0.0070207946142515,0.0812088602109283,0.5713258281225754,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.98,0.0,0.0,2,0,-0.08922245100942727,-1,1,1
431,431,0.1751286705665531,0.2920516390442899,4.952122381181322,0.9061686216277016,1.6081301477695515,2.592780562064975,9.280295758062186,4.677021021747454,248.92,35.73914471061758,70.56,113.71773668326166,1.6666019180209997,2.6577713679757387,1.455390465195766,2.35734567374253,1.5736131578701538,0.0385086697517736,1.0687227550091305,1.7224125411106943,0.99,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28,0.72,0.0,0.0,3,0,0.013865005289583565,1,0,1
433,433,0.1740786252384461,0.3228732352842279,5.7499614865746125,1.3574311203585223,2.123598161120945,2.789442502539232,8.785004310997603,4.537312648593782,254.0,0.0,93.24,122.27961994766528,1.8055707561918648,2.5262831133030783,1.761236428280971,2.417642806831854,1.6813414767428057,0.1309451504874323,1.4175965984384118,1.8592604970819293,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37,0.61,0.02,0.0,2,0,0.013009784907958788,1,0,1
